Date,Year,Magnitude,Depth,City,Season,Region
13/03/2026,2026,5.5,6.37,Tokat,İlkbahar,Karadeniz
09/03/2026,2026,5.1,7.0,Denizli,İlkbahar,Ege
24/01/2026,2026,5.1,11.93,Balıkesir,Kış,Marmara
27/10/2025,2025,6.1,6.07,Balıkesir,Sonbahar,Marmara
02/10/2025,2025,5.0,9.97,Tekirdağ,Sonbahar,Marmara
28/09/2025,2025,5.4,8.46,Kütahya,Sonbahar,Ege
10/08/2025,2025,6.1,12.89,Balıkesir,Yaz,Marmara
07/07/2025,2025,5.0,15.0,Muğla,Yaz,Ege
03/06/2025,2025,5.8,67.91,Muğla,Yaz,Ege
15/05/2025,2025,5.2,18.27,Konya,İlkbahar,İç Anadolu
14/05/2025,2025,6.0,49.0,Muğla,İlkbahar,Ege
23/04/2025,2025,5.9,6.99,İstanbul,İlkbahar,Marmara
23/04/2025,2025,6.2,4.91,İstanbul,İlkbahar,Marmara
21/01/2025,2025,5.2,8.65,Çanakkale,Kış,Marmara
08/11/2024,2024,5.0,16.22,Elazığ,Sonbahar,Doğu Anadolu
27/10/2024,2024,5.0,9.7,Adana,Sonbahar,Akdeniz
16/10/2024,2024,5.9,10.48,Malatya,Sonbahar,Doğu Anadolu
07/09/2024,2024,5.0,7.0,Kahramanmaraş,Sonbahar,Akdeniz
18/04/2024,2024,5.6,5.25,Tokat,İlkbahar,Karadeniz
27/01/2024,2024,5.1,8.51,İzmir,Kış,Ege
25/01/2024,2024,5.2,13.88,Malatya,Kış,Doğu Anadolu
04/12/2023,2023,5.1,8.98,Bursa,Kış,Marmara
23/11/2023,2023,5.2,11.96,Malatya,Sonbahar,Doğu Anadolu
24/08/2023,2023,5.0,7.0,Malatya,Yaz,Doğu Anadolu
10/08/2023,2023,5.3,7.89,Malatya,Yaz,Doğu Anadolu
01/08/2023,2023,5.0,7.83,Konya,Yaz,İç Anadolu
25/07/2023,2023,5.5,10.38,Adana,Yaz,Akdeniz
03/05/2023,2023,5.0,7.0,Kahramanmaraş,İlkbahar,Akdeniz
26/04/2023,2023,5.0,54.16,Muğla,İlkbahar,Ege
23/03/2023,2023,5.3,12.9,Kahramanmaraş,İlkbahar,Akdeniz
03/03/2023,2023,5.0,7.06,Kahramanmaraş,İlkbahar,Akdeniz
27/02/2023,2023,5.6,6.15,Malatya,Kış,Doğu Anadolu
27/02/2023,2023,5.0,8.51,Adıyaman,Kış,Güneydoğu Anadolu
25/02/2023,2023,5.3,2.28,Konya,Kış,İç Anadolu
23/02/2023,2023,5.0,8.75,Hatay,Kış,Akdeniz
20/02/2023,2023,5.8,6.64,Hatay,Kış,Akdeniz
20/02/2023,2023,6.4,21.73,Hatay,Kış,Akdeniz
18/02/2023,2023,5.1,6.2,Kahramanmaraş,Kış,Akdeniz
16/02/2023,2023,5.1,9.26,Hatay,Kış,Akdeniz
10/02/2023,2023,5.0,10.45,Malatya,Kış,Doğu Anadolu
08/02/2023,2023,5.0,16.69,Kahramanmaraş,Kış,Akdeniz
08/02/2023,2023,5.3,13.18,Malatya,Kış,Doğu Anadolu
08/02/2023,2023,5.1,9.06,Kahramanmaraş,Kış,Akdeniz
08/02/2023,2023,5.0,15.84,Kahramanmaraş,Kış,Akdeniz
07/02/2023,2023,5.0,10.22,Kahramanmaraş,Kış,Akdeniz
07/02/2023,2023,5.2,11.48,Kahramanmaraş,Kış,Akdeniz
07/02/2023,2023,5.1,6.85,Adıyaman,Kış,Güneydoğu Anadolu
07/02/2023,2023,5.3,8.18,Malatya,Kış,Doğu Anadolu
07/02/2023,2023,5.4,8.44,Adıyaman,Kış,Güneydoğu Anadolu
07/02/2023,2023,5.0,6.87,Malatya,Kış,Doğu Anadolu
07/02/2023,2023,5.0,17.4,Kahramanmaraş,Kış,Akdeniz
06/02/2023,2023,5.2,5.82,Malatya,Kış,Doğu Anadolu
06/02/2023,2023,5.5,5.96,Kahramanmaraş,Kış,Akdeniz
06/02/2023,2023,5.0,7.03,Kahramanmaraş,Kış,Akdeniz
06/02/2023,2023,5.2,12.79,Kahramanmaraş,Kış,Akdeniz
06/02/2023,2023,5.1,10.06,Kahramanmaraş,Kış,Akdeniz
06/02/2023,2023,5.3,11.15,Malatya,Kış,Doğu Anadolu
06/02/2023,2023,5.0,7.04,Malatya,Kış,Doğu Anadolu
06/02/2023,2023,5.1,8.76,Kahramanmaraş,Kış,Akdeniz
06/02/2023,2023,5.3,7.2,Malatya,Kış,Doğu Anadolu
06/02/2023,2023,5.2,10.85,Kahramanmaraş,Kış,Akdeniz
06/02/2023,2023,5.1,7.0,Kahramanmaraş,Kış,Akdeniz
06/02/2023,2023,5.9,17.04,Kahramanmaraş,Kış,Akdeniz
06/02/2023,2023,5.7,10.4,Malatya,Kış,Doğu Anadolu
06/02/2023,2023,5.9,11.28,Malatya,Kış,Doğu Anadolu
06/02/2023,2023,5.5,10.93,Kahramanmaraş,Kış,Akdeniz
06/02/2023,2023,5.8,6.89,Malatya,Kış,Doğu Anadolu
06/02/2023,2023,7.6,7.0,Kahramanmaraş,Kış,Akdeniz
06/02/2023,2023,5.0,7.0,Kahramanmaraş,Kış,Akdeniz
06/02/2023,2023,5.3,11.81,Gaziantep,Kış,Güneydoğu Anadolu
